line id verse number,urdu transliteration text,english translation text
,Reciter: Ali Hassan,
,"Teen Mehroom Baitiyaan, Teen Mazloom Baitiyaan
Three deprived daughters, Three oppressed daughters",
,"Aik Zehra Nabi Ki Baiti Hai, Aik Zainab Ali Ki Baiti Hai","Zahra is the daughter of the Prophet, Zainab is the daughter of Ali"
,"Jisko Kehtay Hai Sab Ghreeb e Hussain, Ik Sakina Usi Ki Baiti Hai","Husayn is known to all of us as the destitute martyr, Sakina is the daughter of the same Imam"
,Teeno Shehzaadiyo Ko Ummat Nai Khoo Rulaaya Kaha Kaha,"All three princesses at the hands of the disciples, were tormented at every place"
,"Teen Mazloom BaitiyaanTeen Mehroom Baitiyaan, Teen Mazloom Baitiyaan
Three oppressed daughters,Three deprived daughters, Three oppressed daughters",
,"Haai Zahra Ko Yu Sataaya Gaya, Zindagi Bhar Usay Rulaaya Gaya","Alas, Zahra was always agonized, Alas, she wept and sobbed all her life"
,"Yay Sitam Bhi Hua Hai Baad e Nabi, Us Ko Darbaar Mai Bulaaya Gaya","This also happened after the Prophet’s demise, She was forced and taken to the court"
,"Ajr Ummat Nai Yu Chukaya Hai, Rad Hui Sab Gawahiyyaan","The followers repaid the retribution of the Prophet, By rebuffing and deposing all her testimonies"
,"Teen Mazloom BaitiyaanTeen Mehroom Baitiyaan, Teen Mazloom Baitiyaan
Three opressed daughters,Three deprived daughters, Three oppressed daughters",
,"Kaisa Sadma Hai Baad e Nabi, Gam Pe Gam Hi Mila Hai Baad e Nabi","What a blow to her soon after Prophet’s demise, She was afflicted and grieved after Prophet’s demise"
,"Ghar Jalaa Ker Gira Ke Darwaaza, Yay Sitam Bhi Hua Hai Baad e Nabi","Her house was burned, she was crushed under the burning door, This agony also happened after the Prophet’s demise"
,"Kar Diya Hai Shaheed Mohsin Ko, Or Tori Hai Pasliyaan","Her unborn child Mohsin got martyred in her womb, Her ribs got trampled and shattered under the doors"
,"Teen Mazloom BaitiyaanTeen Mehroom Baitiyaan, Teen Mazloom Baitiyaan
Three oppressed daughters,Three deprived daughters, Three oppressed daughters",
,"Haal Dil Ka Kabhi Suna Na Saki, Haath Pehloo Sai Yay Uthna Na Saki","She was not able to speak out her heart to anyone, she was unable to move her hand from her side"
,"Haai Kitni Ghareeb Hai Zahra, Qabr Mai Bhi Yay Chen Pa Na Saki","Alas, so pain stricken was Zahra, Not even able to rest in her grave"
,"Itni Mazloom Hai Kai Turbat Bhi, Hai Mohtaj e Saaibaan","So grief stricken is that her grave till today, Still lacks basic shelter or cover"
,"Teen Mazloom BaitiyaanTeen Mehroom Baitiyaan, Teen Mazloom Baitiyaan
Three oppressed daughters,Three deprived daughters, Three oppressed daughters",
,"Aik Zahra Hai Aik Zainab Hai, Ik Sakina Hussain Ki Hai Jaan","One is Zahra, Other is Zainab, The third one is beloved daughter of Hussain"
,"Teen Mazloom Baitiyaan
Three oppressed daughters",
